sp	genus	species	family	grform	repsize	breedsys	maxht
INGAGO	Inga	goldmanii	Fabaceae:Mimos.	T	30	B	20
INGAM1	Inga	mucuna	Fabaceae:Mimos.	T	30	B	-1
INGAM2	Inga	multijuga	Fabaceae:Mimos.	T	10	B	-1
INGAMA	Inga	marginata	Fabaceae:Mimos.	T	30	B	20
INGAMI	Inga	oerstediana	Fabaceae:Mimos.	T	30	B	20
INGAPE	Inga	pezizifera	Fabaceae:Mimos.	T	30	B	27
INGAPU	Inga	punctata	Fabaceae:Mimos.	T	30	B	15
INGAQU	Inga	nobilis	Fabaceae:Mimos.	M	8	B	15
INGARU	Inga	ruiziana	Fabaceae:Mimos.	T	30	B	9
INGAS1	Inga	acuminata	Fabaceae:Mimos.	U	8	B	-1
INGASA	Inga	sapindoides	Fabaceae:Mimos.	M	16	B	15
INGASP	Inga	spectabilis	Fabaceae:Mimos.	T	20	B	22
INGAUM	Inga	umbellifera	Fabaceae:Mimos.	M	8	B	10
JAC1CO	Jacaranda	copaia	Bignoniaceae	T	30	B	45
KOANWE	Koanophyllon	wetmorei	Asteraceae	S	3	B	3
LACIAG	Lacistema	aggregatum	Flacourtiaceae	U	5	B	20
LACMPA	Lacmellea	panamensis	Apocynaceae	M	16	B	20
LAETPR	Laetia	procera	Flacourtiaceae	T	20	B	30
LAETTH	Laetia	thamnia	Flacourtiaceae	U	8	B	10
LAFOPU	Lafoensia	punicifolia	Lythraceae	T	30	B	15
LEANDI	Leandra	dichotoma	Melastomataceae	S	1	B	-1
LICAHY	Licania	hypoleuca	Chrysobalanaceae	M	8	B	15
LICAPL	Licania	platypus	Chrysobalanaceae	T	30	B	30
LINDLA	Lindackeria	laurina	Flacourtiaceae	M	10	B	8
LONCLA	Lonchocarpus	heptaphyllus	Fabaceae:Papil.	T	30	B	18
LOPIDA	Pavonia	dasypetala	Malvaceae	S	1	B	-1
LOZAPI	Lozania	pittieri	Flacourtiaceae	U	10	B	8
LUEHSE	Luehea	seemannii	Tiliaceae	T	30	B	30
LYCIMA	Lycianthes	maxonii	Solanaceae	S	-1	B	2
MACLTI	Maclura	tinctoria	Moraceae	T	30	D	-1
MACRGL	Macrocnemum	roseum	Rubiaceae	M	8	B	15
MALMSP	Mosannona	garwoodii	Annonaceae	M	4	B	15
MALPRO	Malpighia	romeroana	Malpighiaceae	S	1	B	3
MAQUCO	Maquira	guianensis	Moraceae	M	10	D	20
MAR1LA	Marila	laxiflora	Clusiaceae	M	10	B	20
MARGNO	Margaritaria	nobilis	Euphorbiaceae	U	-1	D	-1
MAYTSC	Maytenus	schippii	Celastraceae	M	8	P	10
MICO15	Miconia	sp.15	Melastomataceae	*	-1	*	-1
MICOAF	Miconia	affinis	Melastomataceae	U	4	B	7
MICOAR	Miconia	argentea	Melastomataceae	M	10	B	15
MICOEL	Miconia	elata	Melastomataceae	U	10	B	11
MICOHO	Miconia	hondurensis	Melastomataceae	U	10	B	12
MICOIM	Miconia	impetiolaris	Melastomataceae	U	2	B	3
MICONE	Miconia	nervosa	Melastomataceae	S	1	B	3
MICOPR	Miconia	prasina	Melastomataceae	U	-1	B	8
MOURMY	Mouriri	myrtilloides	Melastomataceae	S	2	B	4
MYRCGA	Myrcia	gatunensis	Myrtaceae	U	5	B	12
MYROFR	Myrospermum	frutescens	Fabaceae:Papil.	T	30	B	-1
NECTCI	Nectandra	cissiflora	Lauraceae	T	30	B	27
NECTGL	Nectandra	lineata	Lauraceae	M	16	B	10
NECTPU	Nectandra	purpurea	Lauraceae	M	8	B	17
NECTS1	Nectandra	'fuzzy'	Lauraceae	T	30	B	-1
NECTS3	Nectandra	sp.4_('tiny_leaf')	Lauraceae	M	-1	B	-1
NEEAAM	Neea	amplifolia	Nyctaginaceae	S	1	D	2
OCHRPY	Ochroma	pyramidale	Bombacaceae	M	16	B	12
OCOTCE	Ocotea	cernua	Lauraceae	M	4	D	12
OCOTOB	Ocotea	oblonga	Lauraceae	T	30	D	30
OCOTPU	Ocotea	puberula	Lauraceae	T	30	D	27
OCOTWH	Ocotea	whitei	Lauraceae	T	30	D	30
OENOMA	Oenocarpus	mapora	Arecaceae	M	8	M	20
OLMEAS	Trophis	caucana	Moraceae	U	4	D	6
ORMOAM	Ormosia	amazonica	Fabaceae:Papil.	T	30	B	-1
ORMOCR	Ormosia	coccinea	Fabaceae:Papil.	T	30	B	25
ORMOMA	Ormosia	macrocalyx	Fabaceae:Papil.	T	30	B	30
OURALU	Ouratea	lucens	Ochnaceae	S	3	B	8
PALIGU	Palicourea	guianensis	Rubiaceae	S	1	B	4
PENTMA	Pentagonia	macrophylla	Rubiaceae	U	2	B	5
PEREXA	Perebea	xanthochyma	Moraceae	M	8	D	10
PHOECI	Cinnamomum	cinnamomifolium	Lauraceae	T	30	B	25
PICRLA	Picramnia	latifolia	Picramniaceae	U	4	D	10
PIPEA1	Piper	arboreum	Piperaceae	U	3	B	7
PIPEAE	Piper	aequale	Piperaceae	S	1	B	3
PIPECA	Piper	schiedeanum	Piperaceae	S	1	B	4
PIPECO	Piper	cordulatum	Piperaceae	S	1	B	2
PIPECU	Piper	culebranum	Piperaceae	S	2	B	4
PIPEIM	Piper	imperialis	Piperaceae	U	2	B	5
PIPEPE	Piper	perlasense	Piperaceae	S	1	B	3
PIPERE	Piper	reticulatum	Piperaceae	U	4	B	8
PIT1MA	Abarema	macradenia	Fabaceae:Mimos.	T	30	B	7
PIT1RU	Cojoba	rufescens	Fabaceae:Mimos.	M	8	B	7
PLA1PI	Platymiscium	pinnatum	Fabaceae:Papil.	T	30	B	30
PLA2EL	Platypodium	elegans	Fabaceae:Papil.	T	30	B	30
POCHQU	Pachira	quinata	Bombacaceae	T	30	B	30
POCHSE	Pachira	sessilis	Bombacaceae	T	30	B	30
POSOLA	Posoqueria	latifolia	Rubiaceae	M	8	B	10
POULAR	Poulsenia	armata	Moraceae	T	30	M	27
